,City,Country,Temperature,Max Temp,Humidity %,Cloudiness %,Wind Speed (mph),Latitude,Longitude
282,Şabyā,SA,92.82,92.82,50,68,3.15,17.1495,42.6254
283,Coyhaique,CL,53.55,53.55,58,75,4.61,-45.5752,-72.0662
284,Mossamedes,AO,65.43,65.43,93,28,10.18,-15.1961,12.1522
285,North Bend,US,67.87,74.25,63,1,5.75,43.4065,-124.2243
286,Isangel,VU,69.24,69.24,84,4,8.55,-19.55,169.2667
287,Dābhol,IN,76.17,76.17,90,99,3.83,17.6,73.1667
288,San Rafael del Sur,NI,88.77,88.77,60,94,9.17,11.8485,-86.4384
289,Pevek,RU,35.65,35.65,98,100,7.9,69.7008,170.3133
290,Niquero,CU,87.46,87.46,62,27,4.85,20.0431,-77.5828
291,Yar-Sale,RU,53.28,53.28,80,97,12.57,66.8333,70.8333
292,Ranong,TH,78.96,78.96,85,99,8.03,9.9658,98.6348
293,Tommot,RU,44.01,44.01,97,100,5.91,58.9564,126.2925
294,Daye,CN,77.49,77.49,77,100,3.58,30.0833,114.95
295,Saldanha,ZA,53.65,53.65,81,65,9.55,-33.0117,17.9442
296,Atar,MR,107.38,107.38,13,51,11.52,20.5169,-13.0499
297,Henties Bay,NA,55.85,55.85,85,9,10.25,-22.116,14.2845
298,Coahuayana Viejo,MX,87.28,87.28,70,100,0.96,18.7333,-103.6833
299,Verkh-Chebula,RU,50.36,50.36,57,0,12.28,56.0308,87.6218
300,Canguçu,BR,61.81,61.81,58,18,9.44,-31.395,-52.6756
301,Pacific Grove,US,63.12,84.16,80,1,5.01,36.6177,-121.9166
302,Tūkrah,LY,77.67,77.67,64,0,6.87,32.5341,20.5791
303,Sittwe,MM,80.42,80.42,87,72,8.99,20.15,92.9
304,Nishihara,JP,81.68,82.06,89,20,5.75,26.1842,127.7558
305,Zyryanka,RU,39.47,39.47,69,100,16.28,65.75,150.85
306,Yendi,GH,77.36,77.36,89,98,4.09,9.4427,-0.0099
307,Seka,TH,73.76,73.76,96,100,6.17,17.9285,103.9552
308,Houma,US,90.03,91.4,47,20,3.98,29.5958,-90.7195
309,Hambantota,LK,77.34,77.34,100,75,8.05,6.1241,81.1185
310,Port-Gentil,GA,76.96,76.96,83,40,10.36,-0.7193,8.7815
311,Luanda,AO,73.4,73.4,83,0,6.91,-8.8368,13.2343
312,Bilma,NE,95.88,95.88,14,8,3.49,18.6853,12.9164
313,Shaunavon,CA,73.18,73.18,28,4,3.31,49.6501,-108.4181
314,Westport,US,76.53,80.89,56,40,1.99,41.1415,-73.3579
315,Havelock,US,79.84,82.98,55,1,4.0,34.8791,-76.9013
316,Lufilufi,WS,74.98,74.98,70,100,10.74,-13.8745,-171.5986
317,Banda Aceh,ID,79.05,79.05,79,98,3.94,5.5577,95.3222
318,Erenhot,CN,55.8,55.8,66,10,16.08,43.6475,111.9767
319,Storforshei,NO,46.65,46.65,76,100,3.74,66.4043,14.5233
320,Ancud,CL,49.53,52.43,92,100,13.71,-41.8697,-73.8203
321,Geraldton,AU,45.01,45.01,81,0,9.22,-28.7667,114.6
322,Faya,SA,68.52,71.71,26,64,10.2,18.3851,42.4509
323,Jiangyou,CN,72.0,72.0,89,100,4.36,31.7667,104.7167
324,Hong Kong,HK,85.33,86.32,80,7,8.16,22.2855,114.1577
325,Corinth,GR,78.84,79.9,60,23,4.36,37.9407,22.9573
326,Mathbaria,BD,81.64,81.64,86,85,4.5,22.2876,89.9593
327,Balgazyn,RU,43.86,43.86,65,44,3.22,51.0,95.2
328,Madimba,TZ,72.45,72.45,83,19,8.43,-10.4,40.3333
329,Gazli,UZ,80.85,80.85,32,0,21.39,40.1333,63.45
330,Raudeberg,NO,50.07,54.27,83,42,2.93,61.9875,5.1352
331,Pailón,BO,92.3,92.88,24,16,16.42,-17.65,-62.75
332,Vila Nova de Milfontes,PT,70.25,70.25,60,7,5.77,37.7238,-8.7828
333,Hunucmá,MX,87.1,87.89,51,92,7.78,21.0167,-89.8667
334,Natá,PA,76.87,76.87,71,97,3.65,8.3333,-80.5167
335,Goderich,CA,72.03,75.04,60,62,9.22,43.7501,-81.7165
336,Wyszków,PL,57.74,61.21,61,60,4.76,52.5928,21.4584
337,Paka,MY,75.13,75.13,100,72,0.0,4.6374,103.4368
338,Lethem,GY,89.02,89.02,56,86,2.98,3.3803,-59.7968
339,Dhidhdhoo,MV,81.37,81.37,78,94,14.88,6.8833,73.1
340,Coxim,BR,103.89,103.89,17,9,1.66,-18.5067,-54.76
341,Eureka,US,58.51,61.99,80,0,3.0,40.8021,-124.1637
342,Racale,IT,73.83,75.07,56,35,7.36,39.9631,18.0938
343,Road Town,VG,87.82,87.84,100,40,10.36,18.4167,-64.6167
344,Kiunga,PG,73.44,73.44,99,97,2.42,-6.1219,141.2906
345,Invermere,CA,69.82,69.82,37,56,5.3,50.5167,-116.0354
346,Ferme-Neuve,CA,67.78,67.78,39,55,2.21,46.7001,-75.4493
347,Xichang,CN,67.12,67.12,94,99,1.32,27.8964,102.2634
348,Jalu,LY,86.88,86.88,27,0,6.29,29.0331,21.5482
349,Tagāb,AF,76.62,76.62,20,0,6.33,34.855,69.6492
350,Ballina,AU,59.4,60.76,82,73,6.91,-28.8667,153.5667
351,Eyl,SO,77.59,77.59,81,11,24.54,7.9803,49.8164
352,Bambamarca,PE,74.97,74.97,45,70,8.72,-6.6833,-78.5333
353,Arlit,NE,99.07,99.07,11,9,6.58,18.7369,7.3853
354,Saint-Pierre,RE,69.87,71.28,78,75,25.32,-21.3393,55.4781
355,Anadyr,RU,46.9,46.9,76,75,11.18,64.75,177.4833
356,Igarka,RU,53.87,53.87,74,100,20.11,67.4667,86.5833
357,Asnæs,DK,57.54,59.9,70,28,4.0,55.8123,11.5013
358,Leiyang,CN,81.07,81.07,75,98,4.94,26.4024,112.8591
359,Yacuiba,BO,90.95,90.95,33,16,7.9,-22.038,-63.6797
360,Cherskiy,RU,38.35,38.35,96,100,21.65,68.75,161.3
361,Curuçá,BR,81.81,81.81,82,97,8.81,-0.7289,-47.8481
362,Abong Mbang,CM,67.68,67.68,98,95,2.24,3.9833,13.1833
363,Yuanping,CN,58.5,58.5,96,39,1.99,38.7153,112.7575
364,Vardø,NO,42.48,42.48,75,98,30.56,70.3705,31.1107
365,Salalah,OM,80.69,80.69,89,90,6.91,17.0151,54.0924
366,Felanitx,ES,77.67,80.96,65,30,6.08,39.4696,3.1483
367,Mackay,AU,60.78,62.04,94,40,4.61,-21.15,149.2
368,San Juan,AR,72.73,72.73,32,2,19.91,-31.5375,-68.5364
369,Iquitos,PE,93.24,93.24,52,75,5.75,-3.7481,-73.2472
370,Taganak,PH,77.14,77.14,72,100,3.18,6.0833,118.3
371,Daru,PG,77.49,77.49,82,93,16.2,-9.0763,143.2092
372,Province of Trapani,IT,78.03,80.78,89,40,6.91,37.8333,12.6667
373,Huangmei,CN,78.8,78.8,92,98,1.25,30.1924,116.025
374,Lumajang,ID,72.86,72.86,87,92,2.42,-8.1335,113.2248
375,Nadym,RU,61.48,61.48,63,69,19.35,65.5333,72.5167
376,Karlskoga,SE,48.97,49.91,62,29,2.64,59.3267,14.5239
377,Santa Maria,BR,69.1,69.1,68,20,16.11,-29.6842,-53.8069
378,Katobu,ID,73.9,73.9,94,100,2.62,-4.9408,122.5276
379,Cayenne,GF,85.08,89.64,74,40,5.99,4.9333,-52.3333
380,La Tuque,CA,73.65,73.65,20,26,6.91,47.4334,-72.7824
381,Monaco-Ville,FR,75.83,78.82,74,0,4.61,43.731,7.4248
382,Nioro,GM,81.91,81.91,75,75,6.89,13.35,-15.75
383,Oddur,SO,79.25,79.25,55,85,21.97,4.1213,43.8894
384,Beaverlodge,CA,63.75,63.75,49,95,5.55,55.2166,-119.4361
385,Terra Santa,BR,93.87,93.87,42,25,4.99,-2.1042,-56.4869
386,Belyy Yar,RU,46.29,46.29,81,0,6.71,53.6039,91.3903
387,Hulan Ergi,CN,62.38,62.38,88,22,6.33,47.2042,123.6333
388,Hammerfest,NO,41.45,41.45,87,90,4.61,70.6634,23.6821
389,Praia,CV,84.74,84.74,61,20,18.41,14.9215,-23.5087
390,Khandyga,RU,36.63,36.63,89,54,4.07,62.6667,135.6
391,Hlotse,LS,61.52,61.52,47,31,4.92,-28.8718,28.045
392,El Astillero,ES,68.2,70.39,91,20,3.44,43.4009,-3.8205
393,Beringovskiy,RU,46.53,46.53,60,84,8.55,63.05,179.3167
394,Port Hedland,AU,59.05,59.05,26,0,8.05,-20.3167,118.5667
395,Olafsvik,IS,53.22,53.22,88,100,38.03,64.8945,-23.7142
396,Maitum,PH,77.18,77.18,86,54,4.47,6.0392,124.4986
397,Ouégoa,NC,66.22,66.22,79,14,7.67,-20.35,164.4333
398,Naryan-Mar,RU,47.17,47.17,67,68,2.71,67.6713,53.087
399,Bara,NG,73.63,73.63,89,91,5.97,10.3744,10.7288
400,Guasdualito,VE,89.13,89.13,56,6,3.58,7.2424,-70.7324
401,Lakes Entrance,AU,51.17,52.57,92,100,14.27,-37.8811,147.981
402,Hobyo,SO,77.34,77.34,85,9,27.45,5.3505,48.5268
403,Itacarambi,BR,94.23,94.23,19,2,5.26,-15.1022,-44.0919
404,Nelson Bay,AU,60.69,62.01,97,100,7.56,-32.7167,152.15
405,Avera,US,82.81,86.94,26,0,5.99,33.194,-82.5271
406,Zapolyarnyy,RU,38.48,38.48,80,99,22.41,69.4154,30.8136
407,Bethel,US,74.93,79.02,61,1,1.01,41.3712,-73.414
408,Fort Nelson,CA,62.19,62.19,67,75,4.61,58.8053,-122.7002
409,Fort Myers Beach,US,87.94,90.01,71,75,1.99,26.452,-81.9481
410,Sena Madureira,BR,102.04,102.04,26,48,2.13,-9.0656,-68.6569
411,Pergamino,AR,60.42,61.92,85,96,9.71,-33.89,-60.5736
412,Sikeston,US,82.33,85.89,61,40,6.91,36.8767,-89.5879
413,La Palma,US,83.5,100.11,55,1,1.99,33.8464,-118.0467
414,Einsiedeln,CH,61.0,65.19,85,10,2.17,47.1167,8.75
415,Biltine,TD,89.78,89.78,44,71,8.97,14.5333,20.9167
416,Guerrero Negro,MX,76.82,76.82,63,92,10.0,27.9769,-114.0611
417,Kodinsk,RU,40.8,40.8,70,61,2.57,58.6881,99.1844
418,Bauchi,NG,74.23,74.23,87,98,4.79,10.5,10.0
419,Tabas,IR,90.19,90.19,17,3,15.39,33.5959,56.9244
420,Tautira,PF,80.62,80.62,76,22,14.58,-17.7333,-149.15
421,Bang Saphan,TH,75.42,75.42,86,100,3.94,11.2126,99.5117
422,Urman,RU,54.03,54.03,77,80,10.58,54.8831,56.8742
423,Parvatsar,IN,84.54,84.54,64,100,4.65,26.8833,74.7667
424,Valmiera,LV,45.84,46.42,88,46,4.43,57.5411,25.4275
425,Gari,RU,55.08,55.08,85,98,16.93,59.4307,62.3497
426,Paraisópolis,BR,85.71,88.83,18,1,1.34,-22.5542,-45.78
427,Neiafu,TO,75.88,75.88,94,75,8.05,-18.65,-173.9833
428,Pemba,MZ,77.7,77.7,78,20,9.22,-12.974,40.5178
429,Kalulushi,ZM,77.23,77.23,28,64,1.39,-12.8378,28.0919
430,Nuuk,GL,48.81,48.81,66,20,10.36,64.1835,-51.7216
431,La Asuncion,VE,92.93,92.93,66,95,14.97,11.0333,-63.8628
432,Pisco,PE,62.65,63.01,82,90,8.05,-13.7,-76.2167
433,Lipin Bor,RU,42.82,42.82,90,93,13.24,60.2622,37.9763
434,Dauphin,CA,64.54,64.54,63,75,10.36,51.1494,-100.0502
435,Ouricuri,BR,94.69,94.69,23,50,8.97,-7.8825,-40.0817
436,Piet Retief,ZA,57.52,57.52,77,4,1.83,-27.0071,30.8132
437,Buraidah,SA,99.05,99.05,10,58,10.18,26.326,43.975
438,De Aar,ZA,61.77,61.77,21,0,6.73,-30.6497,24.0123
439,Opuwo,NA,72.63,72.63,22,1,9.26,-18.0607,13.84
440,Bataiporã,BR,99.34,99.34,14,1,4.36,-22.2953,-53.2711
441,Prainha,BR,92.66,92.66,42,46,5.48,-1.8,-53.48
442,Longyan,CN,73.9,73.9,95,77,1.34,25.1072,117.0225
443,Kloulklubed,PW,83.43,83.43,69,67,2.98,7.0419,134.2556
444,Saint-Augustin,CA,48.99,48.99,87,100,19.35,51.226,-58.6502
445,Zanzibar,TZ,74.14,74.14,80,22,11.45,-6.1639,39.1979
446,Abdulino,RU,52.12,52.12,71,94,8.52,53.7,53.6667
447,Kagadi,UG,63.25,63.25,96,85,0.81,0.9606,30.7967
448,Sydney Mines,CA,60.42,62.6,71,75,4.0,46.2367,-60.2177
449,Metro,ID,74.1,74.1,83,35,4.0,-5.1131,105.3067
450,Yugorsk,RU,60.53,60.53,80,100,16.89,61.3133,63.3319
451,Oranjemund,NA,55.26,55.26,82,0,9.4,-28.55,16.4333
452,Pīshvā,IR,77.65,87.01,22,1,6.64,35.308,51.7267
453,Rio Grande,BR,63.95,66.31,71,20,9.95,-32.035,-52.0986
454,Villafranca de los Barros,ES,87.31,89.82,33,20,3.13,38.5614,-6.3381
455,Yerbogachën,RU,36.05,36.05,73,3,2.59,61.2767,108.0108
456,San Vicente de Cañete,PE,66.36,66.36,75,72,7.67,-13.0751,-76.3835
457,Kamaishi,JP,65.35,65.35,88,100,7.9,39.2667,141.8833
458,Zhalantun,CN,59.4,59.4,93,99,2.15,48.0,122.7167
459,Forsytheganj,BY,47.44,47.44,70,69,6.91,52.6333,29.7333
460,San Jerónimo,PE,68.52,68.52,29,18,4.27,-11.9472,-75.2829
461,Marzuq,YE,81.3,81.3,40,99,4.47,14.4,46.4667
462,Antofagasta,CL,66.22,66.22,66,20,11.05,-23.65,-70.4
463,Souillac,MU,71.98,71.98,64,40,12.66,-20.5167,57.5167
464,Oistins,BB,87.89,87.89,70,40,17.27,13.0667,-59.5333
465,São Filipe,CV,79.65,79.65,74,6,15.55,14.8961,-24.4956
466,Luancheng,CN,66.36,66.36,95,100,3.8,37.8792,114.6517
467,Guararema,BR,89.1,91.54,44,0,8.28,-23.415,-46.035
468,Lodja,CD,72.95,72.95,84,99,2.57,-3.4833,23.4333
469,Taiyuan,CN,66.06,66.06,77,75,2.24,37.8694,112.5603
470,Borzya,RU,58.68,58.68,98,99,4.83,50.3833,116.5167
471,Tuatapere,NZ,49.82,49.82,85,96,3.65,-46.1333,167.6833
472,City of San Pedro,PH,79.79,80.1,84,91,3.09,14.35,121.0167
473,Ayagoz,KZ,63.9,63.9,29,0,6.06,47.9714,80.4392
474,Cervo,ES,69.96,75.2,80,14,7.0,43.6702,-7.4101
475,São Félix do Xingu,BR,95.34,95.34,32,77,5.57,-6.6447,-51.995
476,Nampula,MZ,73.35,73.35,60,0,11.5,-15.1165,39.2666
477,Airai,TL,58.24,58.24,90,87,3.22,-8.9266,125.4092
478,Najrān,SA,84.85,84.85,17,92,5.66,17.4924,44.1277
479,Metković,HR,73.87,73.87,63,5,1.19,43.0542,17.6483
480,Ventanas,EC,89.76,89.76,49,89,4.36,-1.45,-79.4667
481,Portland,US,73.24,78.6,47,75,1.01,45.5234,-122.6762
482,Srednekolymsk,RU,36.05,36.05,84,100,18.7,67.45,153.6833
483,Livingstone,ZM,73.99,73.99,30,35,4.68,-17.8419,25.8543
484,Jining,CN,66.25,66.25,94,100,11.48,35.405,116.5814
485,Merauke,ID,75.83,75.83,85,64,12.71,-8.4667,140.3333
486,Waipawa,NZ,50.54,52.43,65,39,20.96,-41.4122,175.5153
487,Balsas,BR,98.78,98.78,20,78,6.58,-7.5325,-46.0356
488,Vao,NC,69.03,69.03,74,14,15.19,-22.6667,167.4833
489,Denpasar,ID,78.46,78.46,89,75,5.75,-8.65,115.2167
490,Wajima,JP,71.37,71.37,88,10,2.8,37.4,136.9
491,Auki,SB,75.09,75.09,88,74,2.73,-8.7676,160.7034
492,Pangnirtung,CA,42.8,42.8,93,40,10.36,66.1451,-65.7125
493,Sokolo,ML,95.4,95.4,36,19,11.34,14.7328,-6.1219
494,Arrecife,ES,75.18,75.27,83,0,9.22,28.963,-13.5477
495,Vazhiny,RU,43.32,43.32,88,100,7.96,60.9644,34.0222
496,Longyearbyen,SJ,39.04,39.04,75,75,3.44,78.2186,15.6401
497,Okha,RU,52.72,52.72,91,0,7.38,53.5739,142.9478
498,Macusani,PE,52.27,52.27,45,34,7.11,-14.0833,-70.4333
499,Kuantan,MY,77.11,77.11,94,20,0.0,3.8077,103.326
500,Kirakira,SB,76.19,76.19,88,49,7.72,-10.4544,161.9205
501,Byron Bay,AU,58.59,62.55,83,74,9.66,-28.65,153.6167
502,La Loma,PA,76.8,76.8,70,100,3.06,8.1667,-80.6333
503,Paamiut,GL,42.44,42.44,83,3,25.14,61.994,-49.6678
504,Nagato,JP,75.11,75.11,80,100,11.34,34.3833,131.2
505,Fort Saint James,CA,62.44,62.44,58,100,8.32,54.4333,-124.25
506,Acapulco de Juárez,MX,85.82,85.82,70,90,6.91,16.8634,-99.8901
507,Burnie,AU,46.92,46.92,86,41,6.02,-41.0667,145.9167
508,Caucayá,CO,95.07,95.07,40,29,1.7,-0.1934,-74.7819
509,Ulladulla,AU,55.54,56.3,89,100,7.7,-35.35,150.4667
510,Marawi,PH,66.65,66.65,94,71,2.19,7.9986,124.2928
511,Mendi,PG,55.29,55.29,99,100,1.48,-6.1761,143.6513
512,Rumoi,JP,58.51,58.51,93,8,5.57,43.9344,141.6428
513,Dalvik,IS,58.93,58.93,65,100,9.35,65.9702,-18.5286
514,Kingsport,US,79.39,81.55,60,75,4.0,36.5484,-82.5618
515,Touros,BR,85.1,85.1,67,2,15.32,-5.1989,-35.4608
516,College,US,51.46,54.59,92,75,3.44,64.8569,-147.8028
517,Fershampenuaz,RU,50.47,50.47,73,6,10.71,53.5202,59.8117
518,Luganville,VU,74.05,74.05,82,94,5.12,-15.5333,167.1667
519,Magán,ES,86.9,88.32,30,10,6.13,39.9683,-3.931
520,Kattivākkam,IN,78.89,78.89,81,100,15.17,13.2167,80.3167
521,Pimenteiras,BR,98.67,98.67,20,14,9.98,-6.2453,-41.4192
522,Xiangxiang,CN,80.42,80.42,79,100,1.5,27.7333,112.5333
523,Balfour,ZA,47.75,66.81,23,62,4.0,-26.6633,28.5902
524,Salinópolis,BR,82.4,82.4,76,100,15.59,-0.6136,-47.3561
525,Kamenka,RU,47.43,47.43,57,6,6.78,51.3223,42.7678
526,Omsukchan,RU,42.73,42.73,92,100,11.72,62.5333,155.8
527,Vanimo,PG,77.65,77.65,90,42,5.21,-2.6741,141.3028
528,Bluefield,US,74.84,78.62,63,75,4.0,37.2698,-81.2223
529,Berdigestyakh,RU,34.36,34.36,85,100,6.78,62.0989,126.6992
530,Karratha,AU,67.86,67.86,20,0,19.89,-20.7377,116.8463
531,Cururupu,BR,84.34,84.34,63,93,8.68,-1.8283,-44.8683
532,Frederico Westphalen,BR,82.36,82.36,45,23,7.81,-27.3592,-53.3944
533,Leirvik,NO,58.41,60.62,69,18,0.78,59.7798,5.5005
534,Gravelbourg,CA,68.27,68.27,27,0,7.49,49.8834,-106.5512
535,Fairbanks,US,51.4,54.61,92,90,0.0,64.8378,-147.7164
536,Wasilla,US,53.6,55.02,94,75,0.0,61.5814,-149.4394
537,Charter Township of Clinton,US,76.46,79.56,57,75,1.99,42.587,-82.9199
538,Kulunda,RU,60.71,60.71,38,21,8.86,52.566,78.9385
539,Lumberton,US,83.26,85.44,31,4,6.67,34.6182,-79.0086
540,Campbell River,CA,58.41,60.33,93,90,1.99,50.0163,-125.2446
541,Wellington,NZ,53.65,55.06,77,40,5.99,-41.2866,174.7756
542,Tanete,ID,74.28,74.28,96,100,2.91,-3.9443,119.7848
543,Vostok,RU,48.22,48.22,94,0,3.36,46.4856,135.8833
544,Gannan,CN,59.43,59.43,94,49,4.38,47.9147,123.5031
545,Micheweni,TZ,76.12,76.12,81,8,14.63,-4.9667,39.8333
546,Kamiichi,JP,68.47,74.79,99,100,2.68,36.7,137.3667
547,Xining,CN,55.56,55.56,78,100,0.47,36.6167,101.7667
548,Berlevåg,NO,41.54,41.54,68,100,25.32,70.8578,29.0864
549,Port-Cartier,CA,60.8,60.93,66,100,3.91,50.0334,-66.8654
550,Lexington,US,81.55,83.52,55,20,1.01,37.9887,-84.4777
551,Bhaderwah,IN,63.79,63.79,92,8,1.45,32.9784,75.7186
552,Constitución,CL,58.05,58.05,63,10,6.31,-35.3333,-72.4167
553,Hanawa,JP,60.17,60.17,91,100,7.0,40.1836,140.7872
554,Senneterre,CA,66.42,66.42,40,100,4.88,48.3835,-77.2328
555,Krasnovishersk,RU,46.06,46.06,96,100,12.06,60.4078,57.082
556,Ketchikan,US,57.67,57.67,88,90,0.0,55.3422,-131.6461
557,Taoudenni,ML,106.25,106.25,9,5,9.26,22.6783,-3.9836
558,Barillas,GT,79.14,79.14,75,87,3.49,15.8036,-91.3158
559,Abay,KZ,53.98,53.98,25,2,8.79,49.6311,72.8539
560,Batemans Bay,AU,52.92,54.99,96,100,1.83,-35.7167,150.1833
561,Koróni,GR,78.51,79.07,66,91,9.06,36.8,21.95
562,Pidhorodne,UA,52.84,52.84,41,72,8.32,48.5753,35.1068
563,Mossendjo,CG,72.77,72.77,77,48,1.72,-2.9506,12.7261
564,Naze,JP,79.25,79.25,83,98,6.06,28.3667,129.4833
565,Sarangani,PH,82.27,82.27,76,100,9.51,5.4033,125.4636
